Inglês,Português
the,o/a
be,ser/estar
to,para
of,de
and,e
a,um/uma
in,em
that,que
have,ter
I,eu
it,isso/ele/ela
for,para
not,não
on,em/sobre
with,com
he,ele
as,como
you,você
do,fazer
at,em
this,este/esta/isso
but,mas
his,seu
by,por
from,de
they,eles/elas
we,nós
say,dizer
her,ela/dela
she,ela
or,ou
an,um/uma
will,irá
my,meu
one,um
all,todo
would,gostaria
there,lá
their,delas/deles
what,o que
so,então
up,para cima
out,fora
if,se
about,sobre
who,quem
get,obter
which,qual
go,ir
me,me/mim
when,quando
make,fazer
can,poder
like,gostar
time,tempo
no,não
just,apenas
him,ele
know,saber
take,levar
people,pessoas
into,em/dentro de
year,ano
your,seu
good,bom
some,alguns
could,poderia
them,eles
see,ver
other,outro
than,do que
then,então
now,agora
look,olhar
only,apenas
come,vir
its,seu
over,sobre
think,pensar
also,também
back,de volta
after,depois
use,usar
two,dois
how,como
our,nosso
work,trabalho
first,primeiro
well,bem
way,caminho/jeito
even,mesmo
new,novo
want,querer
because,porque
any,qualquer
these,estes
give,dar
day,dia
most,mais
us,nos
place,lugar
such,tal
again,novamente
few,poucos
case,caso
week,semana
company,empresa
where,onde
system,sistema
each,cada
right,direito
program,programa
hear,ouvir
question,pergunta
during,durante
play,jogar
government,governo
run,correr
small,pequeno
number,número
off,fora
always,sempre
move,mover
night,noite
live,viver
Mr.,Sr.
point,ponto
believe,acreditar
hold,segurar
today,hoje
bring,trazer
happen,acontecer
next,próximo
without,sem
before,antes
large,grande
million,milhão
must,dever
home,casa
under,sob
water,água
room,quarto
write,escrever
mother,mãe
area,área
national,nacional
money,dinheiro
story,história
young,jovem
fact,fato
month,mês
different,diferente
lot,muito
right,certo
study,estudar
book,livro
eye,olho
job,emprego
word,palavra
though,embora
business,negócio
issue,questão
side,lado
kind,espécie
four,quatro
head,cabeça
far,longe
black,preto
long,longo
both,ambos
little,pouco
house,casa
yes,sim
since,desde
provide,fornecer
service,serviço
around,ao redor
friend,amigo
important,importante
father,pai
sit,sentar
away,longe
until,até
power,poder
hour,hora
game,jogo
often,frequentemente
yet,ainda
line,linha
political,político
end,fim
among,entre
ever,alguma vez
stand,ficar de pé
bad,mau
lose,perder
however,entretanto
member,membro
pay,pagar
law,lei
meet,encontrar
car,carro
city,cidade
almost,quase
include,incluir
continue,continuar
set,conjunto
later,mais tarde
community,comunidade
much,muito
name,nome
five,cinco
once,uma vez
white,branco
least,menos
president,presidente
learn,aprender
real,real
change,mudar
team,time
minute,minuto
best,melhor
several,vários
idea,ideia
kid,criança
body,corpo
information,informação
nothing,nada
ago,atrás
lead,conduzir
social,social
understand,entender
whether,se
watch,assistir
together,juntos
follow,seguir
parent,pai/mãe
stop,parar
face,rosto
anything,qualquer coisa
create,criar
public,público
already,já
speak,falar
others,outros
read,ler
level,nível
allow,permitir
add,adicionar
office,escritório
spend,gastar
door,porta
health,saúde
person,pessoa
art,arte
sure,claro
war,guerra
history,história
party,partido
within,dentro
grow,crescer
result,resultado
open,abrir
change,mudança
morning,manhã
walk,andar
reason,razão
low,baixo
win,ganhar
research,pesquisa
girl,garota
guy,rapaz
early,cedo
food,comida
moment,momento
himself,ele mesmo
air,ar
teacher,professor
force,força
offer,oferecer
enough,suficiente
education,educação
across,através
although,embora
remember,lembrar
foot,pé
second,segundo
boy,menino
maybe,talvez
toward,em direção a
able,capaz
age,idade
policy,política
everything,tudo
love,amor
process,processo
music,música
including,incluindo
consider,considerar
appear,aparecer
actually,na verdade
buy,comprar
probably,provavelmente
human,humano
wait,esperar
serve,servir
market,mercado
die,morrer
send,enviar
expect,esperar
sense,sentido
build,construir
stay,fique
fall,cair
oh,oh
nation,nação
plan,plano
cut,cortar
college,faculdade
interest,interesse
death,morte
course,curso
someone,alguém
experience,experiência
behind,atrás
reach,alcançar
local,local
kill,matar
six,seis
remain,permanecer
effect,efeito
yeah,sim
suggest,sugerir
class,classe
control,controle
raise,aumentar
care,cuidado
perhaps,talvez
late,tarde
hard,difícil
field,campo
else,outro
pass,passar
former,anterior
sell,vender
major,maior
sometimes,às vezes
require,exigir
along,ao longo
development,desenvolvimento
themselves,eles mesmos
report,relatório
role,papel
better,melhor
economic,econômico
effort,esforço
decide,decidir
rate,taxa
strong,forte
possible,possível
heart,coração
drug,droga
show,mostrar
leader,líder
light,luz
voice,voz
wife,esposa
whole,inteiro
police,polícia
mind,mente
finally,finalmente
pull,puxar
return,retornar
free,livre
military,militar
price,preço
reportar,reportar
less,menos
according,de acordo
decision,decisão
explain,explicar
son,filho
hope,esperança
develop,desenvolver
view,visão
relationship,relacionamento
carry,carregar
town,cidade
road,estrada
drive,dirigir
arm,braço
true,verdadeiro
federal,federal
break,quebrar
difference,diferença
thank,agradecer
receive,receber
value,valor
international,internacional
building,prédio
action,ação
full,cheio
model,modelo
join,juntar
season,estação
society,sociedade
tax,imposto
director,diretor
position,posição
player,jogador
agree,concordar
especially,especialmente
record,registro
pick,escolher
wear,vestir
paper,papel
special,especial
space,espaço
ground,chão
form,forma
support,apoio
event,evento
official,oficial
whose,cujo
matter,importar
everyone,todos
center,centro
couple,casal
site,local
project,projeto
hit,acertar
base,base
activity,atividade
star,estrela
table,mesa
need,precisar
court,tribunal
produce,produzir
eat,comer
American,americano
teach,ensinar
oil,óleo
half,metade
situation,situação
easy,fácil
cost,custo
industry,indústria
figure,figura
street,rua
image,imagem
itself,ele mesmo
phone,telefone
either,ou
data,dados
cover,cobrir
quite,bastante
picture,imagem
clear,claro
practice,prática
piece,peça
land,terra
recent,recente
describe,descrever
product,produto
doctor,médico
wall,parede
patient,paciente
worker,trabalhador
news,notícia
test,teste
movie,filme
certain,certo
north,norte
personal,pessoal
simply,simplesmente
third,terceiro
